job_title,category,salary
Courier Sales Manager,Courier / Delivery / Transport / Drivers,79500
Deck Officer,Courier / Delivery / Transport / Drivers,34160
Delivery Driver,Courier / Delivery / Transport / Drivers,26400
Delivery Specialist,Courier / Delivery / Transport / Drivers,40560
Delivery Supervisor,Courier / Delivery / Transport / Drivers,47180
Dispatcher,Courier / Delivery / Transport / Drivers,27620
Driver,Courier / Delivery / Transport / Drivers,28680
Driving Instructor,Courier / Delivery / Transport / Drivers,40640
Goods Receiving Expediter,Courier / Delivery / Transport / Drivers,31520
Limousine Driver,Courier / Delivery / Transport / Drivers,40240
Parking Inspector,Courier / Delivery / Transport / Drivers,39640
School Bus Driver,Courier / Delivery / Transport / Drivers,34960
Shuttle Driver,Courier / Delivery / Transport / Drivers,31940
Taxi Driver,Courier / Delivery / Transport / Drivers,34540
Third Officer,Courier / Delivery / Transport / Drivers,33120
Train Driver,Courier / Delivery / Transport / Drivers,34360
Tram Driver,Courier / Delivery / Transport / Drivers,31040
Transport Officer,Courier / Delivery / Transport / Drivers,31520
Transportation and Shipping Supervisor,Courier / Delivery / Transport / Drivers,48140
Transportation Manager,Courier / Delivery / Transport / Drivers,127700
Truck Driver,Courier / Delivery / Transport / Drivers,34480
Account Representative,Customer Service and Call Center,44540
Account Service Representative,Customer Service and Call Center,46720
Business Support Specialist,Customer Service and Call Center,68060
Call Center Advisor,Customer Service and Call Center,51080
Call Center Duty Manager,Customer Service and Call Center,71700
Call Center Manager,Customer Service and Call Center,123400
Call Center Manager,Customer Service and Call Center,125700
Call Center Quality Analyst,Customer Service and Call Center,78620
Call Center Representative,Customer Service and Call Center,38060
Call Center Representative,Customer Service and Call Center,38340
Call Center Scheduler,Customer Service and Call Center,45600
Call Center Scheduling Manager,Customer Service and Call Center,65080
Call Center Supervisor,Customer Service and Call Center,57320
Call Center Team Leader,Customer Service and Call Center,65800
Client Engagement Specialest,Customer Service and Call Center,74560
Client Executive,Customer Service and Call Center,55940
Client Liaison Officer,Customer Service and Call Center,40140
Client Relations Manager,Customer Service and Call Center,146200
Client Relationship Executive,Customer Service and Call Center,125100
Client Relationship Manager,Customer Service and Call Center,146200
Client Service Analyst,Customer Service and Call Center,83100
Client Service Representative,Customer Service and Call Center,40140
Client Strategy Specialist,Customer Service and Call Center,84040
Contracts Specialist,Customer Service and Call Center,63380
Customer Care Officer,Customer Service and Call Center,38620
Customer Care Representative,Customer Service and Call Center,37740
Customer Center Supervisor,Customer Service and Call Center,46400
Customer Experience Analyst,Customer Service and Call Center,48560
Customer Experience Manager,Customer Service and Call Center,137400
Customer Experience Specialist,Customer Service and Call Center,83060
Customer Fulfillment Specialist,Customer Service and Call Center,82920
Customer Insights Analyst,Customer Service and Call Center,85460
Customer Problem Manager,Customer Service and Call Center,82160
Customer Relations Manager,Customer Service and Call Center,142300
Customer Relations Specialist,Customer Service and Call Center,80800
Customer Sales Representative,Customer Service and Call Center,39960
Customer Sales Support,Customer Service and Call Center,39800
Customer Service Administration,Customer Service and Call Center,50020
Customer Service Advisor,Customer Service and Call Center,83900
Customer Service Agent,Customer Service and Call Center,39800
Customer Service Associate,Customer Service and Call Center,38700
Customer Service Coordinator,Customer Service and Call Center,43760
Customer Service Country Manager,Customer Service and Call Center,161300
Customer Service Executive,Customer Service and Call Center,97060
Customer Service Manager,Customer Service and Call Center,136100
Customer Service Manager,Customer Service and Call Center,138800
Customer Service Officer,Customer Service and Call Center,40240
Customer Service Representative,Customer Service and Call Center,37380
Customer Service Sales Support,Customer Service and Call Center,37380
Customer Service Specialist,Customer Service and Call Center,39640
Customer Service Supervisor,Customer Service and Call Center,60840
Customer Service Team Leader,Customer Service and Call Center,92300
Customer Service Trainer,Customer Service and Call Center,72420
Customer Service Working Supervisor,Customer Service and Call Center,69180
Customer Solutions Representative,Customer Service and Call Center,89280
Customer Success Manager,Customer Service and Call Center,128500
Customer Success Specialist,Customer Service and Call Center,88620
Customer Support Agent,Customer Service and Call Center,37800
Dispute Resolution Specialist,Customer Service and Call Center,69780
Field Service Representative,Customer Service and Call Center,40640
Guest Relations Officer,Customer Service and Call Center,31040
Guest Service Agent,Customer Service and Call Center,28680
Inbound Call Center Representative,Customer Service and Call Center,37880
Inbound Sales Representative,Customer Service and Call Center,41660
Internet Banking Supervisor,Customer Service and Call Center,123400
Lead Administrator,Customer Service and Call Center,80840
Logistics Coordinator,Customer Service and Call Center,46400
Operations Support Manager,Customer Service and Call Center,115600
Real Time Analyst,Customer Service and Call Center,75280
Regional Account Manager,Customer Service and Call Center,130400
Service Administrator,Customer Service and Call Center,66820
Service Delivery Manager,Customer Service and Call Center,138200
Service Writer,Customer Service and Call Center,35560
Sourcing Assistant,Customer Service and Call Center,26100
Telephone Operator,Customer Service and Call Center,28720
Vendor Administration Specialist,Customer Service and Call Center,50340
Workforce Manager,Customer Service and Call Center,83640
Cable Installer and Locator,Electrical and Electronics Trades,28680
Cable Technician,Electrical and Electronics Trades,28900
Digital Design Engineer,Electrical and Electronics Trades,106500
Electrical Designer,Electrical and Electronics Trades,97060
Electrical Drafter,Electrical and Electronics Trades,49360
Electrical Engineering Manager,Electrical and Electronics Trades,137400
Electrical Maintenance Manager,Electrical and Electronics Trades,138200
Electrical Planner,Electrical and Electronics Trades,77340
Electrical Sales Engineer,Electrical and Electronics Trades,96340
Electrical Sales Representative,Electrical and Electronics Trades,58800
Electrical Service Technician,Electrical and Electronics Trades,31180
Electrical Technician,Electrical and Electronics Trades,51400
Electrical Worker,Electrical and Electronics Trades,37200
Electrician,Electrical and Electronics Trades,46040
Electromechanical Technician,Electrical and Electronics Trades,51340
Electronic Assembler,Electrical and Electronics Trades,45720
Electronic Drafter,Electrical and Electronics Trades,38700
Electronic Engineer,Electrical and Electronics Trades,102460
Electronic Service Engineer,Electrical and Electronics Trades,97260
Electronics Engineer,Electrical and Electronics Trades,94940
Electronics Instructor,Electrical and Electronics Trades,93280
Electronics Technician,Electrical and Electronics Trades,47400
Field Service Engineer,Electrical and Electronics Trades,101120
Field Service Technician,Electrical and Electronics Trades,36700
Hydroelectric Plant Technician,Electrical and Electronics Trades,44780
Hydroelectric Production Manager,Electrical and Electronics Trades,127700
Instrumentation Technician,Electrical and Electronics Trades,38680
Journeyman Electrician,Electrical and Electronics Trades,47760
Maintenance Electrician,Electrical and Electronics Trades,33520
Mechatronics Technician,Electrical and Electronics Trades,53120
Power Equipment Mechanic,Electrical and Electronics Trades,36020
Power Line Technician,Electrical and Electronics Trades,35500
Refrigeration and Airconditioning Mechanic,Electrical and Electronics Trades,49360
Security Service Engineer,Electrical and Electronics Trades,103840
Technical Manager,Electrical and Electronics Trades,137400
Turbine Fitter,Electrical and Electronics Trades,28900
Warehouse Attendant,Electrical and Electronics Trades,27380
Warehouse Manager,Electrical and Electronics Trades,125100
Watch Repairer,Electrical and Electronics Trades,37620
Acoustics Engineer,Engineering,90900
Assembly Engineering Technician,Engineering,70700
Assistant Chief Engineer,Engineering,101840
Associate Engineer,Engineering,80340
AutoCAD Drafter,Engineering,55940
Autocad Operator,Engineering,59480
Automation Engineer,Engineering,94900
Automation Engineer,Engineering,102460
Avionic System Support Engineer,Engineering,88620
Biochemical Engineer,Engineering,83640
BMS Engineer,Engineering,86460
Bridge and Lock Tender,Engineering,47400
Broadcast Engineer,Engineering,95620
CAD Design Engineer,Engineering,97880
CAD Designer,Engineering,59000
CAE Engineer,Engineering,87640
Ceramics Engineer,Engineering,87060
Chemical Engineer,Engineering,96720
Civil Drafter,Engineering,56140
Civil Engineer,Engineering,96680
Civil Site Engineer,Engineering,93340
Civil Technician,Engineering,54140
Commissioning Engineer,Engineering,86740
Communications Engineer,Engineering,101920
Condition Monitoring Engineer,Engineering,76440
Contract Associate Engineer,Engineering,87000
Contract Engineer,Engineering,84040
Control Systems Engineer,Engineering,93600
Controls Engineer,Engineering,89120
Controls Software Engineer,Engineering,80640
Corrosion Engineer,Engineering,83640
Design Engineer,Engineering,91960
Director of Engineering,Engineering,187500
Drafter,Engineering,57320
Drafting Manager,Engineering,109340
Drilling Engineer,Engineering,87020
Drilling Foreman,Engineering,26780
Electrical Draughtsman,Engineering,46280
Electrical Engineer,Engineering,103840
Electrical Engineering Manager,Engineering,128900
Electromechanical Engineering Technologist,Engineering,102160
Electromechanical Equipment Assembler,Engineering,48920
Energy Engineer,Engineering,93660
Engine Assembler,Engineering,42320
Engineer,Engineering,93780
Engineering Account Manager,Engineering,103440
Engineering Chief Designer,Engineering,99220
Engineering Consultant,Engineering,128900
Engineering Key Account Manager,Engineering,139100
Engineering Lab Technician,Engineering,84580
Engineering Manager,Engineering,134600
Engineering Planning Manager,Engineering,127700
Engineering Production Manager,Engineering,164200
Engineering Project Analyst,Engineering,105940
Engineering Project Coordinator ,Engineering,105080
Engineering Project Director,Engineering,196800
Engineering Project Leader,Engineering,112180
Engineering Project Manager,Engineering,136100
Engineering Research and Development Manager,Engineering,150000
Engineering Safety Coordinator,Engineering,68400
Engineering Sales Manager,Engineering,128500
Engineering Technician,Engineering,75260
Engineering Technologist,Engineering,71700
Environmental Engineer,Engineering,92500
Equipment Engineer,Engineering,83300
Equipment Engineering Manager,Engineering,117380
Estimator,Engineering,80480
Fabrication Specialist,Engineering,66940
Fabricator,Engineering,42320
Facade Engineer,Engineering,93120
Fiber Analyst,Engineering,54700
Field Engineer,Engineering,98540
Field Engineering Manager,Engineering,157600
Fire Engineer,Engineering,96600
Fitter and Turner,Engineering,28860
Forestry Strategic Planner,Engineering,112660
Generation Engineer,Engineering,91580
Genetic Engineer,Engineering,104040
Geological Engineer,Engineering,94800
Geotechnical Engineer,Engineering,96720
Heavy Equipment Mechanic,Engineering,45260
Highway Engineer,Engineering,94380
HSE Professional,Engineering,83420
HVAC Engineer,Engineering,97460
HVAC Supervisor,Engineering,80020
Industrial Engineer,Engineering,86420
Industrial Engineering Technologist,Engineering,83900
Instrument Engineer,Engineering,92400
Instrument Technician,Engineering,51100
Instrumentation and Control Engineer,Engineering,88020
Instrumentation Designer,Engineering,80760
Instrumentation Engineer,Engineering,91660
Instrumentation Manager,Engineering,93100
Irrigation Engineer,Engineering,92680
Licensed Aircraft Engineer,Engineering,94380
Locomotive Engineer,Engineering,88480
Maintenance Engineer,Engineering,88580
Maintenance Fitter,Engineering,31520
Maintenance Manager,Engineering,96160
Manufacturing Engineer,Engineering,88620
Marine Engineer,Engineering,89280
Materials Engineer,Engineering,93340
Materials Researcher,Engineering,85080
Materials Technician,Engineering,70260
Mechanical and Electrical Engineer,Engineering,102380
Mechanical Design Engineer,Engineering,93600
Mechanical Designer,Engineering,80500
Mechanical Engineer,Engineering,95980
Mechanical Engineering Manager,Engineering,124400
Mechanical Inspector,Engineering,92500
Mechatronics Engineer,Engineering,99340
Mining Engineer,Engineering,87940
Oil and Petrochemical Engineer,Engineering,100280
Optical Engineer,Engineering,91660
Optical Instrument Assembler,Engineering,45580
PCB Assembler,Engineering,34160
Photonics Engineer,Engineering,96500
Photonics Technician,Engineering,85880
Pipeline Engineer,Engineering,82520
Piping Designer,Engineering,48740
Piping Engineer,Engineering,88260
Planning Engineer,Engineering,90660
Pressure Vessel Inspector,Engineering,41560
Principal Cost Engineer,Engineering,91580
Principal Engineer,Engineering,94800
Principal Support Engineer,Engineering,92300
Process Engineer,Engineering,87040
Process Operator,Engineering,52820
Product Development Engineer,Engineering,97900
Product Development Technician,Engineering,66580
Product Engineer,Engineering,96500
Product Safety Engineer,Engineering,88580
Production Engineer,Engineering,88300
Project Engineer,Engineering,96160
Proposal Manager,Engineering,120040
Purchasing Engineer,Engineering,82200
Quality Assurance Engineer,Engineering,94400
Rail Engineer,Engineering,94900
Regional Field Engineer,Engineering,100140
Robotics Engineer,Engineering,101120
Robotics Technician,Engineering,70600
Safety Engineer,Engineering,91380
Safety Inspector,Engineering,70260
Safety Manager,Engineering,109340
Safety Officer,Engineering,49360
Sales Engineer,Engineering,102380
Scheduling Engineer,Engineering,82160
Service Engineer,Engineering,97880
Solar Engineer,Engineering,99340
Staff Engineer,Engineering,96340
Static Equipment Engineer,Engineering,87020
Stationary Engineer,Engineering,81880
Stress Engineer,Engineering,83900
Structural Analysis Engineer,Engineering,88620
Structural Designer,Engineering,83760
Structural Engineer,Engineering,95760
Structural Technician,Engineering,61460
Supply Chain Specialist,Engineering,92680
Surveyor,Engineering,66440
Technical Affairs Officer,Engineering,47540
Technical Assistant,Engineering,47180
Technical Engineer,Engineering,84780
Technical Support Engineer,Engineering,76440
Tender Engineer,Engineering,84560
Test Development Engineer,Engineering,91660
Test Engineer,Engineering,93140
Transportation Engineer,Engineering,83760
Validation Engineer,Engineering,83300
Verification Engineer,Engineering,84780
Wastewater Engineer,Engineering,95620
Wind Energy Engineer,Engineering,94400
Wind Energy Operations Manager,Engineering,119900
Work Planner,Engineering,63400
Environment Advisor,Environmental,142300
Environmental and Agricultural Scientist,Environmental,164200
Environmental Assistant,Environmental,62060
Environmental Compliance Inspector,Environmental,69040
Environmental Coordinator,Environmental,57080
Environmental Economist,Environmental,158700
Environmental Educator,Environmental,129000
Environmental Engineer,Environmental,98820
Environmental Health and Safety Manager,Environmental,176800
Environmental Health Practitioner,Environmental,183600
Environmental Manager,Environmental,161600
Environmental Officer,Environmental,53120
Environmental Planner,Environmental,61760
Environmental Protection Officer,Environmental,53380
Environmental Restoration Planner,Environmental,91520
Environmental Scientist,Environmental,169000
Environmental Services Coordinator,Environmental,53660
Environmental Specialist,Environmental,80760
Environmental Superintendent,Environmental,65800
Environmental Technician,Environmental,48940
Forestry Consultant,Environmental,120880
Forestry Supervisor,Environmental,78420
Geologist,Environmental,167100
Senor Environmental Health Practitioner,Environmental,180500
Toxicologist,Environmental,112660
Waste Management Manager,Environmental,161600
Waste Tracking Specialist,Environmental,124400
Water Treatment Superintendent,Environmental,80020
Account Coordinator,Executive and Management,96500
Account Director,Executive and Management,116180
Account Executive,Executive and Management,116180
Account Manager,Executive and Management,112660
Administration Manager,Executive and Management,116540
Administration Officer,Executive and Management,59940
Administration Supervisor,Executive and Management,99340
Administrative Clerk,Executive and Management,48820
Administrative Officer,Executive and Management,48340
Area Director,Executive and Management,112560
Area Manager,Executive and Management,107320
Asset Protection Associate,Executive and Management,128500
Assistant Director,Executive and Management,119020
Assistant General Manager,Executive and Management,125100
Assistant Manager,Executive and Management,128900
Assistant Managing Director,Executive and Management,138200
Assistant Operations Manager,Executive and Management,130400
Assistant Project Manager,Executive and Management,129000
Assistant Section Head,Executive and Management,99460
Assistant to CEO,Executive and Management,117660
Assistant Vice President,Executive and Management,134600
Associate Account Director,Executive and Management,125100
Associate Director,Executive and Management,125100
Bid Manager,Executive and Management,139100
Branch Manager,Executive and Management,136100
Business Development Manager,Executive and Management,152300
Business Operations Associate,Executive and Management,125700
Business Operations Lead,Executive and Management,125700
Campaign Manager,Executive and Management,138800
Catering Coordinator,Executive and Management,77400
Catering Manager,Executive and Management,119700
CEO,Executive and Management,221500
Chairman of The Board,Executive and Management,228000
Chairman Office Manager,Executive and Management,148300
Chief Commercial Officer,Executive and Management,161300
Chief Corporate Officer,Executive and Management,189300
Chief Executive Officer,Executive and Management,228500
Chief Financial Officer,Executive and Management,217900
Chief Investment Officer,Executive and Management,176800
Chief of Staff,Executive and Management,105880
Chief Operating Officer,Executive and Management,183600
Chief Risk Officer,Executive and Management,158700
Client Account Manager,Executive and Management,138200
Client Accounts Officer,Executive and Management,112180
Client Services Manager,Executive and Management,152100
Commercial Director,Executive and Management,157600
Commercial Manager,Executive and Management,137400
Commercial Project Manager,Executive and Management,125100
Commodity Broker,Executive and Management,99220
COO,Executive and Management,180500
Corporate Affairs Executive,Executive and Management,143200
Corporate Compliance Director,Executive and Management,152300
Corporate Director,Executive and Management,157600
Corporate Officer,Executive and Management,106600
Corporate Partnerships Officer,Executive and Management,114940
Country Manager,Executive and Management,183700
Department Head,Executive and Management,137400
Department Manager,Executive and Management,148300
Department Supervisor,Executive and Management,123400
Deputy Director,Executive and Management,172400
Deputy Manager,Executive and Management,161300
Director,Executive and Management,187500
Director of Accreditation,Executive and Management,158700
Director of Catering Services,Executive and Management,137400
Director of Client Services,Executive and Management,146200
Director of Facilities Management,Executive and Management,119900
Director of Operations,Executive and Management,150000
Director of Process Simplification,Executive and Management,117520
Director of Product Management,Executive and Management,158700
Director of Project Management,Executive and Management,163800
Director of Revenue Management,Executive and Management,138200
Director of Training and Development,Executive and Management,150000
Distribution Manager,Executive and Management,152300
Division Manager,Executive and Management,130400
Duty Manager,Executive and Management,139100
Engagement Manager,Executive and Management,159500
Executive Director,Executive and Management,237400
Executive Manager,Executive and Management,192600
Franchise Manager,Executive and Management,189300
General Manager,Executive and Management,181600
Global Master Data Manager,Executive and Management,159500
Global Technical Lead,Executive and Management,106960
Head of Investment,Executive and Management,152100
Head of Middle Office,Executive and Management,146200
Head of Projects,Executive and Management,159100
Head of Strategy,Executive and Management,168100
Head of Supply Chain,Executive and Management,148300
Head of Sustainability,Executive and Management,128500
Housing Manager,Executive and Management,125100
HSE Manager,Executive and Management,134600
Key Account Manager,Executive and Management,130400
Knowledge Manager,Executive and Management,157600
Location Manager,Executive and Management,142300
Logistics Executive,Executive and Management,115740
Logistics Manager,Executive and Management,123400
Management Consultant,Executive and Management,118520
Management Executive,Executive and Management,161300
Manager,Executive and Management,159400
Managing Director,Executive and Management,194600
MIS Executive,Executive and Management,157600
Ocean Services Manager,Executive and Management,159400
Operational Manager,Executive and Management,161300
Operations Analyst,Executive and Management,138800
Operations Assistant,Executive and Management,108300
Operations Director,Executive and Management,172200
Operations Executive,Executive and Management,174000
Operations Manager,Executive and Management,172400
Operations Supervisor,Executive and Management,148300
Planning Director,Executive and Management,164200
PMO Manager,Executive and Management,151800
Policy Administration Executive,Executive and Management,129000
Private Sector Executive,Executive and Management,134600
Product Development Manager,Executive and Management,159500
Product Executive,Executive and Management,143200
Production Executive,Executive and Management,152300
Production Manager,Executive and Management,161300
Production Supervisor,Executive and Management,128900
Program Director,Executive and Management,157600
Program Manager,Executive and Management,158700
Programme Coordinator,Executive and Management,110340
Project Control Manager,Executive and Management,154700
Project Coordinator,Executive and Management,96180
Project Management Officer,Executive and Management,104140
Project Manager,Executive and Management,123400
Project Portfolio Manager,Executive and Management,129000
Quality Manager,Executive and Management,125700
R/D Director,Executive and Management,136200
Regional Director,Executive and Management,209700
Regional Manager,Executive and Management,159400
Relationship Manager,Executive and Management,148300
Retail District Manager,Executive and Management,111240
Revenue Manager,Executive and Management,125100
Risk and Capital Manager,Executive and Management,185100
Risk Officer,Executive and Management,119700
Safety Manager,Executive and Management,119700
Section Head,Executive and Management,125100
Service Manager,Executive and Management,117440
Shift Supervisor,Executive and Management,96540
Solutions Manager,Executive and Management,116540
Supervisor,Executive and Management,97840
Supply Chain Manager,Executive and Management,164200
Surveyor,Executive and Management,107860
Technical Director,Executive and Management,157600
Technical Manager,Executive and Management,150000
Territory Manager,Executive and Management,152100
Validation Manager,Executive and Management,128900
Vice President,Executive and Management,187500
Zone Manager,Executive and Management,157600
Air Conditioning Technician,Facilities / Maintenance / Repair,26400
Assembly Supervisor,Facilities / Maintenance / Repair,49300
Assistant Contract Manager,Facilities / Maintenance / Repair,113740
Building and Grounds Supervisor,Facilities / Maintenance / Repair,72180
Building Control Officer,Facilities / Maintenance / Repair,64040
Building Engineer,Facilities / Maintenance / Repair,93220
Building Services Engineer,Facilities / Maintenance / Repair,96220
Building Surveyor,Facilities / Maintenance / Repair,62420
Calibration Technician,Facilities / Maintenance / Repair,35560
Carpenter,Facilities / Maintenance / Repair,36700
Cemetery Manager,Facilities / Maintenance / Repair,42320
Chief Building Official,Facilities / Maintenance / Repair,146200
Clinical Facilities Planning Manager,Facilities / Maintenance / Repair,148300
Construction Laborer,Facilities / Maintenance / Repair,30800
Contracts Administrator,Facilities / Maintenance / Repair,77860
Contracts Manager,Facilities / Maintenance / Repair,119900
Facilities Coordinator,Facilities / Maintenance / Repair,69540
Facilities Director,Facilities / Maintenance / Repair,151800
Facilities Engineer,Facilities / Maintenance / Repair,93220
Facilities Maintenance Manager,Facilities / Maintenance / Repair,138800
Facilities Maintenance Supervisor,Facilities / Maintenance / Repair,95980
Facilities Manager,Facilities / Maintenance / Repair,136200
Field Service Manager,Facilities / Maintenance / Repair,127700
Field Service Technician,Facilities / Maintenance / Repair,28180
Fire Alarm System Installer,Facilities / Maintenance / Repair,43760
Glazier,Facilities / Maintenance / Repair,29840
HVAC Mechanic,Facilities / Maintenance / Repair,27020
HVAC Technician,Facilities / Maintenance / Repair,28860
Laborer,Facilities / Maintenance / Repair,27560
Maintenance Fitter,Facilities / Maintenance / Repair,27480
Maintenance Mechanic,Facilities / Maintenance / Repair,29840
Maintenance Officer,Facilities / Maintenance / Repair,32020
Maintenance Planner,Facilities / Maintenance / Repair,41480
Maintenance Supervisor,Facilities / Maintenance / Repair,52460
Maintenance Worker,Facilities / Maintenance / Repair,28720
Mechanic,Facilities / Maintenance / Repair,29840
Plant Engineer,Facilities / Maintenance / Repair,87880
Property Administration Officer,Facilities / Maintenance / Repair,51120
Service Engineer,Facilities / Maintenance / Repair,80540
Service Operations Manager,Facilities / Maintenance / Repair,136200
Technician,Facilities / Maintenance / Repair,27480
Tool Technician,Facilities / Maintenance / Repair,27020
Assembly Foreman,Factory and Manufacturing,27020
Assembly Line Worker,Factory and Manufacturing,26660
Assembly Supervisor,Factory and Manufacturing,43360
Assistance Maintenance Manager,Factory and Manufacturing,105800
Assistant Shipping Manager,Factory and Manufacturing,92720
Chemical Equipment Controller,Factory and Manufacturing,66260
Chemical Technican Apprentice,Factory and Manufacturing,57620
CNC Machinist,Factory and Manufacturing,68900
CNC Operator,Factory and Manufacturing,63320
CNC Programmer,Factory and Manufacturing,72260
Colour Technologist,Factory and Manufacturing,34120
Contracts Manager,Factory and Manufacturing,118800
Data Collection Coordinator,Factory and Manufacturing,48200
Demand Planner,Factory and Manufacturing,43480
Derrick Operator,Factory and Manufacturing,31540
Director of Manufacturing,Factory and Manufacturing,167100
Dock Worker,Factory and Manufacturing,24720
Drying Technician,Factory and Manufacturing,29540
Equipment Operator,Factory and Manufacturing,25940
Export Sales Coordinator,Factory and Manufacturing,91520
Factory Superintendent,Factory and Manufacturing,46160
Factory Worker,Factory and Manufacturing,31080
Failure Analysis Technician,Factory and Manufacturing,45600
Fiberglass Laminator,Factory and Manufacturing,30840
Food Technologist,Factory and Manufacturing,52460
Forklift Driver,Factory and Manufacturing,32020
Forklift Operator,Factory and Manufacturing,31940
Forming Machine Operator,Factory and Manufacturing,31380
Furnace Operator,Factory and Manufacturing,29840
Gas Appliance Repairer,Factory and Manufacturing,30800
General Warehouse Associate,Factory and Manufacturing,48640
Heavy Equipment Operator,Factory and Manufacturing,38620
HSE Manager,Factory and Manufacturing,128500
Industrial Engineer,Factory and Manufacturing,97880
Industrial Machinery Mechanic,Factory and Manufacturing,60920
Industrial Production Manager,Factory and Manufacturing,169000
Industrial Safety and Health Engineer,Factory and Manufacturing,88300
Intake Operator,Factory and Manufacturing,39800
Key Account Manager,Factory and Manufacturing,148300
Lift Truck Operator,Factory and Manufacturing,28860
Loading Supervisor,Factory and Manufacturing,51120
Logistic Coordinator,Factory and Manufacturing,73100
Logistics Clerk,Factory and Manufacturing,39160
Machine Operator,Factory and Manufacturing,30700
Machinist,Factory and Manufacturing,31540
Maintenance Manager,Factory and Manufacturing,114900
Maintenance Store Clerk,Factory and Manufacturing,28860
Manufacturing Engineer,Factory and Manufacturing,91960
Manufacturing Engineering Manager,Factory and Manufacturing,138800
Manufacturing Engineering Technologist,Factory and Manufacturing,103200
Manufacturing Manager,Factory and Manufacturing,158700
Manufacturing Operative,Factory and Manufacturing,51340
Manufacturing Production Technician,Factory and Manufacturing,40140
Manufacturing Supervisor,Factory and Manufacturing,78960
Manufacturing Technician,Factory and Manufacturing,31520
Materials Manager,Factory and Manufacturing,128900
Materials Supervisor,Factory and Manufacturing,87000
Mechanical Fitter Engineer,Factory and Manufacturing,96220
Mechanical Foreman,Factory and Manufacturing,29540
Merchandise Planner,Factory and Manufacturing,48160
Metrology Engineer,Factory and Manufacturing,91520
Operations Engineer,Factory and Manufacturing,92240
Operations Manager,Factory and Manufacturing,148300
Order Management Coordinator,Factory and Manufacturing,72780
Order Processing Manager,Factory and Manufacturing,120880
Order Selector,Factory and Manufacturing,36700
Package Handler,Factory and Manufacturing,26660
Packaging Manager,Factory and Manufacturing,93780
Packer,Factory and Manufacturing,29160
Packing Deputy Supervisor,Factory and Manufacturing,79240
Planning Manager,Factory and Manufacturing,125700
Plant Manager,Factory and Manufacturing,154700
Precision Instrument Repairer,Factory and Manufacturing,46840
Process Technician,Factory and Manufacturing,36700
Product Manager,Factory and Manufacturing,150000
Production Analyst,Factory and Manufacturing,125700
Production Director,Factory and Manufacturing,172200
Production Engineer,Factory and Manufacturing,96520
Production Engineering Supervisor,Factory and Manufacturing,139100
Production Inspector,Factory and Manufacturing,102160
Production Laborer,Factory and Manufacturing,25160
Production Manager,Factory and Manufacturing,161600
Production Operator,Factory and Manufacturing,42320
Production Scheduler,Factory and Manufacturing,69180
Production Supervisor,Factory and Manufacturing,92240
Production Technician,Factory and Manufacturing,43360
Production Worker,Factory and Manufacturing,36160
Quality Control Analyst,Factory and Manufacturing,124400
Quality Control Inspector,Factory and Manufacturing,93220
Quality Control Manager,Factory and Manufacturing,136100
Service Technician,Factory and Manufacturing,36800
SHEQ Officer,Factory and Manufacturing,41820
Shipping Manager,Factory and Manufacturing,137400
Small Engine Mechanic,Factory and Manufacturing,53660
Spray Painter,Factory and Manufacturing,29320
Sterile Processing Technician,Factory and Manufacturing,35340
Structural Welder,Factory and Manufacturing,24720
Supply Chain Operative,Factory and Manufacturing,79240
Technical Operator,Factory and Manufacturing,36700
Technology Development Manager,Factory and Manufacturing,167100
Testing Technician,Factory and Manufacturing,68400
Toolmaker,Factory and Manufacturing,48200
Warehouse Forklift Operator,Factory and Manufacturing,33120
Warehouse Operative,Factory and Manufacturing,32960
Warehouse Worker,Factory and Manufacturing,29600
Warranty Handler,Factory and Manufacturing,54140
Welder,Factory and Manufacturing,28680
Workshop Manager,Factory and Manufacturing,105300
Alterations Specialist,Fashion and Apparel,42320
Barber,Fashion and Apparel,43360
Bench Jeweler,Fashion and Apparel,34480
Clothing and Textile Technologist,Fashion and Apparel,93100
Cosmetology Educator,Fashion and Apparel,97880
Diamond Setter,Fashion and Apparel,47760
Diamond Worker,Fashion and Apparel,56060
Fabric Manager,Fashion and Apparel,101980
Fashion Design Manager,Fashion and Apparel,157600
Fashion Designer,Fashion and Apparel,142300
Fashion Merchandiser,Fashion and Apparel,65080
Fashion Model,Fashion and Apparel,90540
Freelance Fashion Stylist,Fashion and Apparel,159500
Garment Technologist,Fashion and Apparel,82720
Hairstylist,Fashion and Apparel,46720
Jeweler,Fashion and Apparel,77340
Jewelry Mold Maker,Fashion and Apparel,58240
Jewelry Polisher,Fashion and Apparel,34160
Jewelry Sales,Fashion and Apparel,69540
Plating Manager,Fashion and Apparel,110380
Product Development Manager,Fashion and Apparel,181600
Sewing Machine Operator,Fashion and Apparel,31080
Shoe Sales,Fashion and Apparel,49820
Supply Chain Manager,Fashion and Apparel,164200
Tailor / Fitter,Fashion and Apparel,45560
Trend Forecaster,Fashion and Apparel,97760
Visual Merchandising Coordinator,Fashion and Apparel,69240
Visual Merchandising Projects Manager,Fashion and Apparel,148300
Aromatherapist,Fitness / Hair / Beauty,111920
Art Therapist,Fitness / Hair / Beauty,75260
Assistant Spa Manager,Fitness / Hair / Beauty,86640
Beauty Advisor,Fitness / Hair / Beauty,83640
Beauty Educator,Fitness / Hair / Beauty,103900
Beauty Shop Coordinator,Fitness / Hair / Beauty,57080
